Region,crop type,Year,Area cultivated(Ha),Production(kg),Yeild (kg/ha),Year_Since_Start,Decade,Is_Recent,Region_Code,Region_Avg_Yield,Region_Growth_Rate,Crop_Code,Crop_Avg_Yield,Crop_Trend,Yield_to_Production_Ratio,Area_Missing_Flag,Region_Crop,Region_Year,Crop_Year,Area_Filled,Yield_Growth_Rate,Production_Growth_Rate,Area_Efficiency,Regional_Avg_Yield,Yield_Anomaly,Rolling_Yield_Trend,Yield_Stability,Production_Area_Ratio,Early_Warning_Score,Risk_Level,Risk_Name
Tigray,Barely,1996,87350.0,81711000,935,0,1990,0,9,1323.2252747252746,0.3433343745376231,0,726.1538461538462,0.050681203459444796,87391.44385026737,0,Tigray_Barely,Tigray_1996,Barely_1996,87350.0,0.0,0.0,935.4436176302232,1323.2252747252746,-388.22527472527463,935.0,0.0,935.4436176302232,-388.22527472527463,1,Medium Risk
Afar,Barely,1996,58318.95,0,0,0,1990,0,0,454.0164835164835,-1.0,0,726.1538461538462,0.050681203459444796,64289.84447004608,1,Afar_Barely,Afar_1996,Barely_1996,194.11333333333332,-1.0,-1.0,0.0,425.4088397790055,-425.4088397790055,467.5,661.1448404094219,0.0,-427.4088397790055,2,High Risk
Amhara,Barely,1996,295850.0,250946000,848,0,1990,0,1,1654.5824175824175,-0.637926880119351,0,726.1538461538462,inf,295926.88679245283,0,Amhara_Barely,Amhara_1996,Barely_1996,295850.0,inf,inf,848.2203819503127,1625.4222222222222,-777.4222222222222,594.3333333333334,516.5426732936335,848.2203819503127,inf,1,Medium Risk
Oromiya,Barely,1996,384670.0,477066000,1240,0,1990,0,6,1857.7087912087911,-0.430539623348703,0,726.1538461538462,-0.262051081674088,384730.6451612903,0,Oromiya_Barely,Oromiya_1996,Barely_1996,384670.0,0.46226415094339623,0.9010703497963706,1240.1954922401019,1817.2122905027934,-577.2122905027934,696.0,633.8201637688722,1240.1954922401019,-575.8489560020537,1,Medium Risk
Somalia,Barely,1996,4230.0,1728000,409,0,1990,0,8,549.7857142857143,inf,0,726.1538461538462,-0.99860638332681,4224.938875305624,0,Somalia_Barely,Somalia_1996,Barely_1996,4230.0,-0.6701612903225806,-0.9963778596672158,408.51063829787233,549.7857142857143,-140.78571428571433,832.3333333333334,415.72146123736906,408.51063829787233,-142.45225343570414,1,Medium Risk
Benushangul Gumuz,Barely,1996,58318.95,0,0,0,1990,0,2,1183.4835164835165,-1.0,0,726.1538461538462,0.050681203459444796,64289.84447004608,1,Benushangul Gumuz_Barely,Benushangul Gumuz_1996,Barely_1996,928.440625,-1.0,-1.0,0.0,1148.8333333333333,-1148.8333333333333,549.6666666666666,631.8546773850245,0.0,-1150.8333333333333,2,High Risk
S.N.N.P.R,Barely,1996,52320.0,60167000,1150,0,1990,0,7,1521.2747252747254,-0.574391477501821,0,726.1538461538462,inf,52319.13043478261,0,S.N.N.P.R_Barely,S.N.N.P.R_1996,Barely_1996,52320.0,inf,inf,1149.980886850153,1491.7666666666667,-341.76666666666665,519.6666666666666,582.9325289716927,1149.980886850153,inf,1,Medium Risk
Gambela,Barely,1996,58318.95,0,0,0,1990,0,4,485.2197802197802,-0.1133742964865565,0,726.1538461538462,-1.0,64289.84447004608,1,Gambela_Barely,Gambela_1996,Barely_1996,18.165,-1.0,-1.0,0.0,462.8839779005525,-462.8839779005525,383.3333333333333,663.9528095680696,0.0,-464.8839779005525,2,High Risk
Harari,Barely,1996,58318.95,0,0,0,1990,0,5,12684.181318681318,-0.1133742964865565,0,726.1538461538462,0.050681203459444796,64289.84447004608,1,Harari_Barely,Harari_1996,Barely_1996,29.570909090909087,0.0,0.0,0.0,536.2277777777778,-536.2277777777778,383.3333333333333,663.9528095680697,0.0,-536.2277777777778,1,Medium Risk
DIRE DAWA,Barely,1996,58318.95,0,0,0,1990,0,3,361.5824175824176,-0.1133742964865565,0,726.1538461538462,-1.0,64289.84447004608,1,DIRE DAWA_Barely,DIRE DAWA_1996,Barely_1996,21.65,0.0,0.0,0.0,361.5824175824176,-361.5824175824176,0.0,0.0,0.0,-361.5824175824176,1,Medium Risk
